"","topic","name","user","star","fork","watch","commits","branches"
"1","Data-Science","keras","keras-team","47.9k","18.1k","2.1k","5,342","6"
"2","Data-Science","scikit-learn","scikit-learn","40.3k","19.6k","2.2k","25,405","21"
"3","Data-Science","PythonDataScienceHandbook","jakevdp","23.1k","9.9k","1.5k","234","5"
"4","Data-Science","Probabilistic-Programming-and-Bayesian-Methods-for-Hackers","CamDavidsonPilon","21k","6.6k","1.4k","1,079","3"
"5","Data-Science","Data-Science--Cheat-Sheet","abhat222","18.4k","8.2k","1.5k","363","3"
"6","Data-Science","data-science-ipython-notebooks","donnemartin","18.3k","5.7k","1.6k","543","2"
"7","Data-Science","spaCy","explosion","16.2k","2.9k","557","11,317","56"
"8","Data-Science","ML-From-Scratch","eriklindernoren","15.9k","3.1k","821","374","1"
"9","Data-Science","go","datasciencemasters","14.7k","5.3k","1.6k","296","3"
"10","Data-Science","ipython","ipython","14.1k","4k","817","24,384","18"
"11","Data-Science","Virgilio","virgili0","12.5k","2.5k","873","1,181","2"
"12","Data-Science","awesome-datascience","academic","12.1k","3.4k","1.3k","441","1"
"13","Data-Science","dash","plotly","11.7k","1.2k","389","3,135","55"
"14","Data-Science","ray","ray-project","11.2k","1.7k","376","4,472","15"
"15","Data-Science","gensim","RaRe-Technologies","10.7k","3.7k","453","3,913","8"
"16","Data-Science","python-machine-learning-book","rasbt","10.6k","4.1k","826","532","7"
"17","Data-Science","stanford-cs-229-machine-learning","afshinea","10.3k","2.5k","615","175","1"
"18","Data-Science","dive-into-machine-learning","hangtwenty","9.9k","1.8k","590","233","4"
"19","Data-Science","Awesome-pytorch-list","bharathgs","9.7k","2.1k","572","714","1"
"20","Data-Science","tflearn","tflearn","9.4k","2.4k","480","605","8"
"21","Data-Science","awesome-bigdata","onurakpolat","8.7k","2.1k","872","506","2"
"22","Data-Science","allennlp","allenai","8.4k","1.8k","280","2,006","12"
"23","Data-Science","php-ml","php-ai","7.8k","1.1k","547","445","2"
"24","Data-Science","streamlit","streamlit","7.8k","692","182","3,272","5"
"25","Data-Science","gridstudio","ricklamers","7.5k","1.3k","298","162","4"
"26","Data-Science","mit-deep-learning","lexfridman","7.4k","1.7k","588","64","2"
"27","Data-Science","data-science","ossu","7.4k","1.5k","640","73","1"
"28","Data-Science","OpenRefine","OpenRefine","7.3k","1.3k","523","4,755","25"
"29","Data-Science","recommenders","microsoft","7.2k","1.1k","226","5,643","12"
"30","Data-Science","tpot","EpistasisLab","7k","1.2k","308","2,159","4"
"31","Data-Science","ds-cheatsheets","FavioVazquez","6.9k","1.7k","361","51","1"
"32","Data-Science","mlcourse.ai","Yorko","6.8k","4.5k","585","4,980","1"
"33","Data-Science","nni","microsoft","5.9k","779","189","1,387","52"
"34","Data-Science","python-machine-learning-book-2nd-edition","rasbt","5.7k","2.4k","368","198","10"
"35","Data-Science","roughViz","jwilber","5.2k","168","46","120","3"
"36","Data-Science","boltons","mahmoud","5.1k","272","151","1,447","1"
"37","Data-Science","pytorch-lightning","PyTorchLightning","5.1k","560","99","2,186","17"
"38","Data-Science","industry-machine-learning","firmai","5.1k","736","325","146","1"
"39","Data-Science","data-science-blogs","rushter","5.1k","1.5k","459","351","1"
"40","Data-Science","catboost","catboost","5k","770","189","10,412","12"
"41","Data-Science","dvc","iterative","4.9k","441","99","5,345","10"
"42","Data-Science","nteract","nteract","4.9k","490","172","10,236","75"
"43","Data-Science","pandas-profiling","pandas-profiling","4.9k","663","122","486","5"
"44","Data-Science","data-science-from-scratch","joelgrus","4.8k","2.9k","557","86","3"
"45","Data-Science","featuretools","FeatureLabs","4.8k","622","145","531","120"
"46","Data-Science","h2o-3","h2oai","4.7k","1.7k","395","26,875","1,565"
"47","Data-Science","smile","haifengl","4.7k","972","259","2,060","9"
"48","Data-Science","machine_learning_examples","lazyprogrammer","4.7k","4.4k","557","263","1"
"49","Data-Science","tsfresh","blue-yonder","4.7k","721","149","362","26"
"50","Data-Science","Data-Analysis-and-Machine-Learning-Projects","rhiever","4.7k","1.8k","326","110","1"
"51","Data-Science","Data-Science-Wiki","Leo-G","4.6k","726","382","143","2"
"52","Data-Science","d2l-en","d2l-ai","4.6k","1.2k","183","2,498","13"
"53","Data-Science","edward","blei-lab","4.5k","779","296","1,796","21"
"54","Data-Science","pachyderm","pachyderm","4.4k","413","158","16,582","1,298"
"55","Data-Science","imbalanced-learn","scikit-learn-contrib","4.3k","946","153","669","8"
"56","Data-Science","knowledge-repo","airbnb","4.2k","584","205","413","8"
"57","Data-Science","stanford-cs-230-deep-learning","afshinea","4.2k","876","195","72","1"
"58","Data-Science","serenata-de-amor","okfn-brasil","4k","700","413","2,356","25"
"59","Data-Science","awesome-R","qinwf","4k","1.3k","391","412","2"
"60","Data-Science","rodeo","yhat","3.9k","439","204","1,190","11"
"61","Data-Science","DataSciencePython","ujjwalkarn","3.9k","1.3k","330","112","1"
"62","Data-Science","snorkel","snorkel-team","3.8k","653","164","2,636","2"
"63","Data-Science","python-small-examples","jackzhenguo","3.6k","826","163","472","3"
"64","Data-Science","hydrogen","nteract","3.5k","285","93","2,113","7"
"65","Data-Science","courses","DataScienceSpecialization","3.4k","28.5k","895","261","4"
"66","Data-Science","cookiecutter-data-science","drivendata","3.2k","1.1k","89","138","6"
"67","Data-Science","Data-Science-Notes","fengdu78","3.2k","1.3k","132","64","1"
"68","Data-Science","metaflow","Netflix","3.2k","230","165","54","7"
"69","Data-Science","pyod","yzhao062","3.1k","625","119","1,138","4"
"70","Data-Science","Data-Analysis","WillKoehrsen","3k","2.5k","305","365","3"
"71","Data-Science","d2l-pytorch","dsgiitr","2.9k","819","159","182","1"
"72","Data-Science","spark-notebook","spark-notebook","2.9k","628","195","2,324","20"
"73","Data-Science","mlxtend","rasbt","2.9k","620","123","1,070","34"
"74","Data-Science","probability","tensorflow","2.8k","740","175","2,839","18"
"75","Data-Science","scikit-learn-videos","justmarkham","2.8k","2k","339","51","2"
"76","Data-Science","tensorwatch","microsoft","2.8k","284","101","105","1"
"77","Data-Science","data-science-at-the-command-line","jeroenjanssens","2.7k","623","202","241","2"
"78","Data-Science","xlearn","aksnzhy","2.7k","471","106","1,340","1"
"79","Data-Science","deep-learning-book","rasbt","2.6k","735","221","298","31"
"80","Data-Science","shogun","shogun-toolbox","2.6k","1k","222","17,510","59"
"81","Data-Science","chartify","spotify","2.5k","205","76","135","4"
"82","Data-Science","python-is-cool","chiphuyen","2.5k","381","110","19","1"
"83","Data-Science","computervision-recipes","microsoft","2.4k","317","107","855","14"
"84","Data-Science","Learn_Data_Science_in_3_Months","llSourcell","2.4k","988","319","4","1"
"85","Data-Science","polyaxon","polyaxon","2.4k","224","77","8,822","1"
"86","Data-Science","telegram-list","goq","2.4k","549","206","1,631","2"
"87","Data-Science","LearnDataScience","nborwankar","2.4k","1.3k","354","64","2"
"88","Data-Science","r4ds","hadley","2.3k","2.9k","225","1,240","6"
"89","Data-Science","gophernotes","gopherdata","2.3k","178","69","366","4"
"90","Data-Science","datascience","r0f1","2.2k","397","117","348","1"
"91","Data-Science","orange3","biolab","2.2k","614","166","12,253","6"
"92","Data-Science","autogluon","awslabs","2.2k","262","67","236","27"
"93","Data-Science","Flux.jl","FluxML","2.1k","350","93","2,529","97"
"94","Data-Science","tablesaw","jtablesaw","2.1k","415","134","2,295","3"
"95","Data-Science","prefect","PrefectHQ","2.1k","176","67","8,898","60"
"96","Data-Science","lgo","yunabe","2k","86","47","169","3"
"97","Data-Science","koalas","databricks","2k","225","102","1,005","1"
"98","Data-Science","tad","antonycourtney","2k","82","47","261","5"
"99","Data-Science","eli5","TeamHG-Memex","2k","263","76","1,198","9"
"100","Data-Science","120-Data-Science-Interview-Questions","kojino","1.9k","786","99","47","1"
"101","machine-Learning","tensorflow","tensorflow","144k","80.9k","8.4k","84,328","50"
"102","machine-Learning","keras","keras-team","47.9k","18.1k","2.1k","5,342","6"
"103","machine-Learning","awesome-machine-learning","josephmisiti","44.3k","11.2k","3.4k","1,390","2"
"104","machine-Learning","scikit-learn","scikit-learn","40.3k","19.6k","2.2k","25,405","21"
"105","machine-Learning","pytorch","pytorch","38k","9.7k","1.4k","26,014","3,539"
"106","machine-Learning","TensorFlow-Examples","aymericdamien","37.1k","14k","2.1k","227","6"
"107","machine-Learning","tesseract","tesseract-ocr","34k","6.4k","1.6k","4,495","7"
"108","machine-Learning","face_recognition","ageitgey","33.7k","9.4k","1.5k","194","5"
"109","machine-Learning","caffe","BVLC","30.2k","18.2k","2.2k","4,156","7"
"110","machine-Learning","faceswap","deepfakes","30.1k","9.6k","1.4k","1,103","4"
"111","machine-Learning","100-Days-Of-ML-Code","Avik-Jain","28.4k","7.2k","2.3k","107","3"
"112","machine-Learning","julia","JuliaLang","26.4k","3.8k","950","46,534","843"
"113","machine-Learning","lessons","madewithml","24k","4.3k","1.1k","83","1"
"114","machine-Learning","machine-learning-for-software-engineers","ZuzooVn","23.7k","5.6k","1.6k","286","2"
"115","machine-Learning","awesome-deep-learning-papers","terryum","21k","4.1k","2k","168","1"
"116","machine-Learning","funNLP","fighting41love","19.6k","5.9k","895","115","1"
"117","machine-Learning","handson-ml","ageron","19.5k","10.5k","1.1k","460","1"
"118","machine-Learning","xgboost","dmlc","18.9k","7.5k","989","4,176","8"
"119","machine-Learning","data-science-ipython-notebooks","donnemartin","18.3k","5.7k","1.6k","543","2"
"120","machine-Learning","fastai","fastai","17.7k","6.3k","658","5,431","66"
"121","machine-Learning","CNTK","microsoft","16.8k","4.4k","1.4k","16,116","1,069"
"122","machine-Learning","openpose","CMU-Perceptual-Computing-Lab","16.7k","5k","871","609","3"
"123","machine-Learning","spaCy","explosion","16.2k","2.9k","557","11,317","56"
"124","machine-Learning","Coursera-ML-AndrewNg-Notes","fengdu78","16k","6.3k","859","103","2"
"125","machine-Learning","ML-From-Scratch","eriklindernoren","15.9k","3.1k","821","374","1"
"126","machine-Learning","NLP-progress","sebastianruder","15.4k","2.6k","1.2k","651","1"
"127","machine-Learning","100-Days-Of-ML-Code","MLEveryday","15.3k","4.3k","1.1k","297","1"
"128","machine-Learning","awesome-deep-learning","ChristosChristofidis","15k","4.7k","1.2k","419","2"
"129","machine-Learning","cs-video-courses","Developer-Y","14.6k","2k","765","223","1"
"130","machine-Learning","lectures","oxford-cs-deepnlp-2017","14.5k","3.5k","1.3k","64","1"
"131","machine-Learning","pwc","zziz","14.5k","2.3k","1.2k","78","1"
"132","machine-Learning","WaveFunctionCollapse","mxgmn","14.2k","728","469","112","1"
"133","machine-Learning","homemade-machine-learning","trekhleb","13.9k","2.7k","746","239","1"
"134","machine-Learning","DeepSpeech","mozilla","13.7k","2.6k","617","2,697","43"
"135","machine-Learning","cheatsheets-ai","kailashahirwar","13.3k","3.2k","1.1k","32","1"
"136","machine-Learning","Qix","ty4z2008","13.2k","4.7k","1.9k","1,272","2"
"137","machine-Learning","tfjs","tensorflow","13.1k","1.1k","348","3,765","60"
"138","machine-Learning","Screenshot-to-code","emilwallner","12.6k","1.3k","533","174","2"
"139","machine-Learning","Virgilio","virgili0","12.5k","2.5k","873","1,181","2"
"140","machine-Learning","predictionio","apache","12.3k","2k","798","4,495","7"
"141","machine-Learning","awesome-datascience","academic","12.1k","3.4k","1.3k","441","1"
"142","machine-Learning","gun","amark","11.6k","734","315","2,100","8"
"143","machine-Learning","ray","ray-project","11.2k","1.7k","376","4,472","15"
"144","machine-Learning","Paddle","PaddlePaddle","11.2k","2.9k","677","27,020","23"
"145","machine-Learning","pytorch-handbook","zergtant","11.2k","3.5k","462","201","3"
"146","machine-Learning","pumpkin-book","datawhalechina","11k","2.5k","391","280","1"
"147","machine-Learning","LightGBM","microsoft","10.8k","2.9k","437","1,854","4"
"148","machine-Learning","gensim","RaRe-Technologies","10.7k","3.7k","453","3,913","8"
"149","machine-Learning","python-machine-learning-book","rasbt","10.6k","4.1k","826","532","7"
"150","machine-Learning","awesome-nlp","keon","10.3k","1.9k","594","429","3"
"151","machine-Learning","Machine-Learning-Tutorials","ujjwalkarn","10.2k","3.1k","804","299","2"
"152","machine-Learning","nsfw_data_scraper","alex000kim","10k","2.6k","406","44","1"
"153","machine-Learning","dive-into-machine-learning","hangtwenty","9.9k","1.8k","590","233","4"
"154","machine-Learning","tensor2tensor","tensorflow","9.9k","2.5k","457","4,321","3"
"155","machine-Learning","ChatterBot","gunthercox","9.8k","3.4k","541","1,832","5"
"156","machine-Learning","Awesome-pytorch-list","bharathgs","9.7k","2.1k","572","714","1"
"157","machine-Learning","google-research","google-research","9.7k","1.7k","469","911","4"
"158","machine-Learning","turicreate","apple","9.6k","990","369","1,479","2"
"159","machine-Learning","stanford-tensorflow-tutorials","chiphuyen","9.5k","4.3k","642","106","1"
"160","machine-Learning","tflearn","tflearn","9.4k","2.4k","480","605","8"
"161","machine-Learning","caire","esimov","9.3k","338","175","228","1"
"162","machine-Learning","horovod","horovod","9k","1.4k","324","576","31"
"163","machine-Learning","netron","lutzroeder","9k","1.1k","207","2,889","2"
"164","machine-Learning","state-of-the-art-result-for-machine-learning-problems","RedditSota","9k","1.4k","907","169","4"
"165","machine-Learning","dlib","davisking","8.9k","2.7k","504","7,794","1"
"166","machine-Learning","nltk","nltk","8.8k","2.3k","498","13,881","20"
"167","machine-Learning","kubeflow","kubeflow","8.8k","1.4k","386","1,872","18"
"168","machine-Learning","botpress","botpress","8.6k","1k","230","11,653","72"
"169","machine-Learning","awesome-kubernetes","ramitsurana","8.6k","1.4k","464","944","4"
"170","machine-Learning","imgaug","aleju","8.6k","1.7k","215","2,883","12"
"171","machine-Learning","EffectiveTensorflow","vahidk","8.6k","964","369","117","3"
"172","machine-Learning","shap","slundberg","8.6k","1.2k","220","1,226","3"
"173","machine-Learning","numpy-ml","ddbourgin","8.6k","2.4k","401","303","1"
"174","machine-Learning","caffe2","facebookarchive","8.5k","2.1k","546","3,680","23"
"175","machine-Learning","flair","flairNLP","8.5k","1.1k","201","2,056","15"
"176","machine-Learning","sonnet","deepmind","8.3k","1.2k","465","810","3"
"177","machine-Learning","the-gan-zoo","hindupuravinash","8.3k","1.8k","525","175","4"
"178","machine-Learning","rasa","RasaHQ","8.2k","2.6k","318","17,453","142"
"179","machine-Learning","onnx","onnx","8.2k","1.4k","425","1,518","15"
"180","machine-Learning","ml-agents","Unity-Technologies","8.2k","2.3k","493","2,148","82"
"181","machine-Learning","TensorFlow-Tutorials","Hvass-Labs","8.2k","4k","543","100","1"
"182","machine-Learning","MLAlgorithms","rushter","8k","1.4k","433","133","1"
"183","machine-Learning","awesome-aws","donnemartin","8k","949","432","580","2"
"184","machine-Learning","mit-deep-learning-book-pdf","janishar","8k","1.9k","359","23","1"
"185","machine-Learning","tutorials","MorvanZhou","7.9k","4.8k","620","538","1"
"186","machine-Learning","php-ml","php-ai","7.8k","1.1k","547","445","2"
"187","machine-Learning","streamlit","streamlit","7.8k","692","182","3,272","5"
"188","machine-Learning","fashion-mnist","zalandoresearch","7.6k","1.7k","291","204","1"
"189","machine-Learning","deep-learning-drizzle","kmario23","7.6k","1.8k","489","117","1"
"190","machine-Learning","Winds","GetStream","7.4k","505","222","3,245","11"
"191","machine-Learning","mit-deep-learning","lexfridman","7.4k","1.7k","588","64","2"
"192","machine-Learning","pattern","clips","7.4k","1.5k","563","1,433","6"
"193","machine-Learning","bert-as-service","hanxiao","7.4k","1.5k","197","1,625","5"
"194","machine-Learning","lime","marcotcr","7.4k","1.2k","276","463","5"
"195","machine-Learning","handson-ml2","ageron","7.3k","2.9k","336","614","1"
"196","machine-Learning","Learn_Machine_Learning_in_3_Months","llSourcell","7.2k","2.4k","750","10","1"
"197","machine-Learning","recommenders","microsoft","7.2k","1.1k","226","5,643","12"
"198","machine-Learning","golearn","sjwhitworth","7.2k","1k","430","507","10"
"199","machine-Learning","vowpal_wabbit","VowpalWabbit","7k","1.7k","400","8,760","22"
"200","machine-Learning","tpot","EpistasisLab","7k","1.2k","308","2,159","4"
"201","Open-CV","SmartOpenCV","HuTianQi","1.8k","509","93","20","1"
"202","Open-CV","OpenCV-Python-Tutorial","makelove","1.8k","733","89","257","2"
"203","Open-CV","Learning-OpenCV-3_examples","oreillymedia","1.4k","607","110","228","11"
"204","Open-CV","OpenCVForAndroid","kongqw","1.3k","447","81","37","3"
"205","Open-CV","OpenCV-Python-Tutorial","ex2tron","1.2k","466","67","25","1"
"206","Open-CV","OpenCV3-Intro-Book-Src","QianMo","1.2k","758","122","24","1"
"207","Open-CV","OpenCV2-Python-Tutorials","abidrahmank","1k","820","92","167","1"
"208","Open-CV","Install-OpenCV","jayrambhia","951","947","66","91","2"
"209","Open-CV","OpenCVSwiftStitch","foundry","792","103","56","71","6"
"210","Open-CV","OpenCV-Face-Recognition","Mjrovai","505","538","44","9","1"
"211","Open-CV","OpenCV-Marker-less-AR","takmin","492","247","60","9","3"
"212","Open-CV","OpenCV-Playing-Card-Detector","EdjeElectronics","453","152","41","13","1"
"213","Open-CV","OpenCV-Android","billmccord","452","162","42","19","2"
"214","Open-CV","OpenCV-iOS","macmade","433","114","48","16","1"
"215","Open-CV","OpenCV_3_License_Plate_Recognition_Python","MicrocontrollersAndMore","405","270","56","20","1"
"216","Open-CV","Smart-Security-Camera","HackerShackOfficial","391","222","51","14","1"
"217","Open-CV","OpenCV-Tutorial","BloodAxe","389","159","60","106","1"
"218","Open-CV","OpenCV2-Python","abidrahmank","378","205","56","50","1"
"219","Open-CV","Computer-Vision-Basics-with-Python-Keras-and-OpenCV","jrobchin","351","102","19","29","1"
"220","Open-CV","OpenCV","xikuqi","317","45","106","28","1"
"221","Open-CV","Delphi-OpenCV","Laex","309","179","118","593","1"
"222","Open-CV","OpenCVForUnity","EnoxSoftware","302","125","42","88","2"
"223","Open-CV","OpenCV-for-PHP","mgdm","286","105","31","30","2"
"224","Open-CV","Fingers-Detection-using-OpenCV-and-Python","lzane","276","154","14","12","3"
"225","Open-CV","Mastering-OpenCV-4-Third-Edition","PacktPublishing","274","87","21","35","1"
"226","Open-CV","OpenCV","vRallev","268","89","22","9","1"
"227","Open-CV","OpenCV-MinGW-Build","huihut","263","65","20","24","15"
"228","Open-CV","OpenCV-AndroidSamples","joaopedronardari","262","136","24","30","3"
"229","Open-CV","OpenCVForiPhone","aptogo","255","66","18","20","1"
"230","Open-CV","Simple-OpenCV-Calculator","EvilPort2","243","91","23","12","1"
"231","Open-CV","OpenCV","brakmic","236","49","18","8","1"
"232","Open-CV","buildOpenCVTX2","jetsonhacks","231","137","22","35","2"
"233","Open-CV","iPhone-OCR-Tesseract-and-OpenCV","pablosproject","230","66","14","13","1"
"234","Open-CV","Motion-detection-OpenCV","RobinDavid","219","111","9","7","1"
"235","Open-CV","OpenCV_3_Windows_10_Installation_Tutorial","MicrocontrollersAndMore","217","159","51","23","1"
"236","Open-CV","OpenCV-Python-Series","codingforentrepreneurs","209","318","24","26","1"
"237","Open-CV","OpenCVTutorials","fendouai","199","54","5","18","1"
